Pagina,Id,Code,Omschrijving,Groep,Omrekenfactor,Dimensie,Begin geldigheid,Gerelateerd
microeinstein,267,uE,microeinstein,Overig,,,2011-06-10,
Toxic Unit,266,TU,Toxic Unit,Overig,,,2011-06-10,toxic unit
ton per jaar,265,ton/a,ton per jaar,SI afgeleide eenheid,,M/T,2011-06-10,
ton,264,ton,ton,SI afgeleide eenheid,1000,M,2011-06-10,ton
terajoule,263,TJ,terajoule,SI afgeleide eenheid,1e+12,L2M/T2,2012-12-11,
seconde,262,s,seconde,SI grondeenheid,1,T,2011-06-10,
kwartaal,261,q,kwartaal,SI niet-SI-eenheid,,T,2011-06-10,
picomol per milligram,260,pmol/mg,picomol per milligram,SI afgeleide eenheid,0.000001,N/M,2012-12-11,
pascal,259,Pa,pascal,SI afgeleide eenheid,1,M/LT2,2011-06-10,
Nephelometric Turbidity Unit,258,NTU,Nephelometric Turbidity Unit,Overig,,,2011-06-10,
nanomol per milligram,257,nmol/mg,nanomol per milligram,SI afgeleide eenheid,0.001,N/M,2012-12-11,
nanogram per milliliter,256,ng/ml,nanogram per milliliter,SI afgeleide eenheid,0.000001,M/L3,2013-02-09,
nanogram per gram,255,ng/g,nanogram per gram,SI afgeleide eenheid,0.000000001,M/M,2013-03-16,
exemplaren per milliliter,254,n/ml,exemplaren per milliliter,Aantal,1000000,X/L3,2011-06-10,
exemplaren per minuut,253,n/min,exemplaren per minuut,Aantal,0.01666667,X/T,2020-09-11,
exemplaren per milligram,252,n/mg,exemplaren per milligram,Aantal,1000000,X/M,2011-06-10,
exemplaren per vierkante meter,251,n/m2,exemplaren per vierkante meter,Aantal,1,X/L2,2011-06-10,
exemplaren per meter,250,n/m,exemplaren per meter,Aantal,1,X/L,2011-06-10,
exemplaren per liter,249,n/l,exemplaren per liter,Aantal,1000,X/L3,2011-06-10,
exemplaren per vierkante kilometer,248,n/km2,exemplaren per vierkante kilometer,Aantal,0.000001,X/L2,2012-12-11,
exemplaren per kilometer,247,n/km,exemplaren per kilometer,Aantal,0.001,X/L,2012-12-11,
exemplaren per hectare,246,n/ha,exemplaren per hectare,Aantal,0.0001,X/L2,2012-12-11,
exemplaren per gram,245,n/g,exemplaren per gram,Aantal,1000,X/M,2012-05-26,
exemplaren per deciliter,244,n/dl,exemplaren per deciliter,Aantal,10000,X/L3,2011-06-10,
millisiemens per centimeter,243,mS/cm,millisiemens per centimeter,SI afgeleide eenheid,0.1,T3I2/L3M,2012-12-11,
millipascal seconde,242,mPa.s,millipascal seconde,SI afgeleide eenheid,0.001,M/LT,2012-12-11,
mol per mol,241,mol/mol,mol per mol,SI afgeleide eenheid,1,N/N,2011-06-10,
mol per kubieke meter,240,mol/m3,mol per kubieke meter,SI afgeleide eenheid,1,N/L3,2011-06-10,
mol,239,mol,mol,SI grondeenheid,1,N,2011-06-10,
maand,238,mnd,maand,SI niet-SI-eenheid,,T,2011-06-10,
millimol,237,mmol,millimol,SI afgeleide eenheid,0.001,N,2012-12-11,
