Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
KRW overig - zout,38,KRW09_OV_A,KRW overig - zout,Waterkwaliteit-chemie,2020-11-28,
KRW overig - zoet,37,KRW09_OV_L,KRW overig - zoet,Waterkwaliteit-chemie,2020-11-28,
KRW prioritair - zout,36,RPS08_A,KRW prioritair - zout,Waterkwaliteit-chemie,2020-11-28,
KRW prioritair - zoet,35,RPS08_L,KRW prioritair - zoet,Waterkwaliteit-chemie,2020-11-28,
Bouwstoffen hergebruik (emissiewaarden),31,EWH_T31_BF,Bouwstoffen hergebruik (emissiewaarden),Bouwstoffen,2020-11-25,
Bagger en ontvangende bodem bij toepassing in opp.waterl.,3,BBK_T03_BS,Bagger en ontvangende bodem bij toepassing in opp.waterl.,Bodemkwaliteit,2020-11-25,
Grond en baggerspecie bij GBT (emissiewaarden),27,BBK_T27_BS,Grond en baggerspecie bij GBT (emissiewaarden),Bodemkwaliteit,2020-11-25,
Ontvangende landbodem,2,BBK_T02_BS,Ontvangende landbodem,Bodemkwaliteit,2020-11-25,
Bouwstoffen (samenstellingswaarde),17,SW_T17_BF,Bouwstoffen (samenstellingswaarde),Bouwstoffen,2020-11-25,
Bouwstoffen (emissiewaarde),16,EW_T16_BF,Bouwstoffen (emissiewaarde),Bouwstoffen,2020-11-25,
Reinigbaarheid grond,15,RBH_T15_BS,Reinigbaarheid grond,Reinigbaarheid,2020-11-25,
Grondwater volgens Wbb,13,WBB_T13_GW,Grondwater volgens Wbb,Bodemkwaliteit,2020-11-25,
Grond volgens Wbb,12,WBB_T12_BS,Grond volgens Wbb,Bodemkwaliteit,2020-11-25,
Baggerspecie bij GBT in oppervlaktewater (emissiewaarde),11,BBK_T11_BS,Baggerspecie bij GBT in oppervlaktewater (emissiewaarde),Bodemkwaliteit,2020-11-25,
Kwaliteit bouwstoffen (hergebruik bouwstoffen BsB),109,OW_T131_BF,Kwaliteit bouwstoffen (hergebruik bouwstoffen BsB),Bouwstoffen,2024-11-15,
Interventiewaarde bodemkwaliteit (landbodem),108,OW_T130_BS,Interventiewaarde bodemkwaliteit (landbodem),Bodemkwaliteit,2024-11-15,
Emissiearme grond en bagger (GBT emissietoetswaarde),107,OW_T129_BS,Emissiearme grond en bagger (GBT emissietoetswaarde),Bodemkwaliteit,2024-11-15,
Emissiearme grond en bagger (GBT emissiewaarde),106,OW_T127_BS,Emissiearme grond en bagger (GBT emissiewaarde),Bodemkwaliteit,2024-11-15,
Kwaliteit bouwstoffen (samenstelling),105,OW_T117_BF,Kwaliteit bouwstoffen (samenstelling),Bouwstoffen,2024-11-15,
Kwaliteit bouwstoffen (emissie),104,OW_T116_BF,Kwaliteit bouwstoffen (emissie),Bouwstoffen,2024-11-15,
Bagger bij verspreiden in zout oppervlaktewaterlichaam (OW),103,OW_T107_BS,Bagger bij verspreiden in zout oppervlaktewaterlichaam (OW),Bodemkwaliteit,2024-11-15,
Bagger bij verspreiden in zoet oppervlaktewaterlichaam (OW),102,OW_T106_BS,Bagger bij verspreiden in zoet oppervlaktewaterlichaam (OW),Bodemkwaliteit,2024-11-15,
Bagger bij verspreiden op de landbodem,101,OW_T105_BS,Bagger bij verspreiden op de landbodem,Bodemkwaliteit,2024-11-15,
Grond bij toepassen in oppervlaktewaterlichaam,100,OW_T104_BS,Grond bij toepassen in oppervlaktewaterlichaam,Bodemkwaliteit,2024-11-15,
Grond bij GBT in oppervlaktewateren (emissiewaarde),10,BBK_T10_BS,Grond bij GBT in oppervlaktewateren (emissiewaarde),Bodemkwaliteit,2020-11-25,
Grond en bagger bij toepassing op of in bodem,1,BBK_T01_BS,Grond en bagger bij toepassing op of in bodem,Bodemkwaliteit,2020-11-25,
