id,naam
Id-2245e311-9637-4e97-9164-e22e49a069dc,StatistischeParameter
Id-eeb52b60-5f89-4f04-a1ce-a075c05eee96,StreefpeilType
Id-21575732-a9fd-4d73-b057-2e3c72a21d1b,Stroomrichting
Id-765cc1fd-f56b-4ee1-90f8-352f34a28ec4,Subject_rollen
Id-81453b00-3221-4cf7-8340-43390f92ad30,Subject_soorten
Id-a4214ac3-5305-4035-b797-84af61dfd970,Substraattype
Id-69232516-a543-4307-9b7b-5eee618af51d,TijdDimensietype
Id-4dd7b7ad-fc63-4c73-aad2-6616cd4b0f6c,Toetsoordeel
Id-cbe2b080-08d9-49cf-a0e4-c553c08f0c51,ValidationScore
Id-efd2e7d5-2a44-4917-9630-8a674b8f34c1,ValidationSteps
Id-bdaf2baf-9d0e-4180-96d1-aa5f8ba1b328,Veiligheidsoordeel
Id-d3c8fadc-5839-4048-b9df-9e6e72b3f07d,VerdedigingType
Id-7c5fbeb0-ff23-4041-9b0a-974f4f450768,VuilvangType
Id-2fe1c443-26dc-4e64-b662-aa8662642715,Waardebepalingsmethode
Id-04be2365-3d05-4903-a53e-edafef7111e8,Waardebepalingstechniek
Id-a2310c26-065f-4aec-9440-74892ec77753,Waardebewerkingsmethode
Id-10bc77f9-d26b-4232-bdce-2fd3faa7c549,WaarnemingReeksType
Id-a225c399-903d-4ee1-ec2f-521b4f255cb5,Waarnemingssoort
Id-ffe3c584-79c0-4e28-9775-bf3dae9dbc4d,Wandconstructie_soort
Id-ca2d7906-d0dd-4c2d-a77e-db2e6e6dc539,WaterAssetFunctienaam
Id-52637750-d341-4a38-b80e-18e3442882a3,Waterbeheerder
Id-2ed51f3b-7a33-47e3-916f-b5d12348dfd2,Waterbeheergebiedtype
Id-2aba2601-67fb-40ea-adea-9de89fee0315,WaterkerendeConstructieType
Id-301aeba7-3973-400a-b63f-d830c9f607f6,WaterkeringCategorie
Id-7e70ab50-d26e-4dc5-89e1-bb88c5e5bedb,WaterkeringsectieType
Id-a7863b2a-5b2d-4b9c-869b-511594be034e,WaterkeringstelselType
Id-0f5bc11f-fb21-47ad-850c-019ad0110d9c,Waterkeringtype
Id-9836357f-fe01-4b44-b8e3-bd9d7993ff03,Waterstaatkundigezonering
Id-0ab47b08-4bc0-493f-a767-d9020b6265a5,WatertypeKwalitatief
Id-2c3eeb6e-5192-40bd-9bca-90b7af2afc0c,WaterTypeKwantitatief
Id-39a10b3b-b73b-4d43-9756-d8f94108a6a2,WaterveiligheidNormclassificatie
Id-1b3837dd-e66b-4080-8a0f-1ba41474554d,WegAardtype
Id-76f199f6-0958-4d32-9e45-fcafc6972e4c,WetVerordeningtype
Id-ac0e6f9c-7ace-4b5d-8ad2-4f37226a1cd2,ZwemplekVoorzieningen
