Pagina,Id,Code,Omschrijving,Groep,Symbool,Begin geldigheid,Gerelateerd
Blowergebouw,339,blg,Blowergebouw,,,2018-10-27,blowergebouw
Blokkeerinrichting,338,bki,Blokkeerinrichting,,,2018-10-27,blokkeerinrichting
Branderinstallatie,337,bi-,Branderinstallatie,,,2018-10-27,
Behuizing,336,bh-,Behuizing,,,2018-10-27,behuizing
Bedieningsruimte,335,bdr,Bedieningsruimte,,,2018-10-27,bedieningsruimte
Bedrijfsauto,334,bda,Bedrijfsauto,,,2018-10-27,bedrijfsauto
Brugdek,333,bd-,Brugdek,,,2018-10-27,brugdek
Brandblusapparaat,332,bba,Brandblusapparaat,,,2018-10-27,brandblusapparaat
Brug,331,b--,Brug,,,2018-10-27,brug
Retourslibgemaal,33,rs-,Retourslibgemaal,,,2016-01-28,retourslibgemaal
Ankervoorziening v.r.e.,329,av-,Ankervoorziening v.r.e.,,,2018-10-27,ankervoorziening v.r.e.
Afsluitkap,328,ask,Afsluitkap,,,2018-10-27,
Akoestische signalering,327,as-,Akoestische signalering,,,2018-10-27,
Airconditioning,326,arc,Airconditioning,,,2018-10-27,airconditioning
Appendagekelder,325,apk,Appendagekelder,,,2018-10-27,appendagekelder
Automatische poort,324,ap-,Automatische poort,,,2018-10-27,automatische poort
Aanhangwagen,323,ahw,Aanhangwagen,,,2018-10-27,aanhangwagen
Afdekking,322,ad-,Afdekking,,,2018-10-27,afdekking
Analyseapparatuur,321,aa-,Analyseapparatuur,,,2018-10-27,analyseapparatuur
Sneeuwborstel,320,sbt,Sneeuwborstel,,,2017-12-09,sneeuwborstel
Influentgemaal,32,ig-,Influentgemaal,,,2016-01-28,influentgemaal
Verwarmingslint,319,vwl,Verwarmingslint,,,2017-12-09,verwarmingslint
Filtraatput,318,ftt,Filtraatput,,,2017-12-09,filtraatput
Bronwaterput,317,bwu,Bronwaterput,,,2017-12-09,bronwaterput
Drainageput,316,dnp,Drainageput,,,2017-12-09,drainageput
Losplaats,315,lps,Losplaats,,,2016-12-03,
Lekvloer,314,lvl,Lekvloer,,,2016-12-03,lekvloer
Weegtrechter,313,wtt,Weegtrechter,,,2016-12-03,weegtrechter
Hydraulische cilinder,312,hdc,Hydraulische cilinder,,,2016-12-03,hydraulische cilinder
Olieopslagtank,311,oot,Olieopslagtank,,,2016-12-03,olieopslagtank
Slibstortbunker,310,ssb,Slibstortbunker,,,2016-12-03,slibstortbunker
Effluentgemaal,31,eg-,Effluentgemaal,,,2016-01-28,effluentgemaal
Lamellenafscheider,309,ls-,Lamellenafscheider,,,2016-12-03,lamellenafscheider
Zinker,308,z--,Zinker,,,2016-01-28,zinker
Gaswasser,307,gw-,Gaswasser,,,2016-01-28,gaswasser
Zandwasser,306,zw-,Zandwasser,,,2016-01-28,zandwasser
Roostergoedwasser,305,rgw,Roostergoedwasser,,,2016-01-28,roostergoedwasser
Vistrap,304,vt-,Vistrap,,,2016-01-28,vistrap
Hydrant,303,hd-,Hydrant,,,2016-01-28,hydrant
Dagtank,302,dtk,Dagtank,,,2016-01-28,dagtank
Clarigester,301,crg,Clarigester,,,2016-01-28,clarigester
Tank,300,t--,Tank,,,2016-01-28,tank
Boostergemaal,30,bg-,Boostergemaal,,,2016-01-28,boostergemaal
Drukreduceerventiel,3,drv,Drukreduceerventiel,,,2016-01-28,drukreduceerventiel
Wisseltank,299,wst,Wisseltank,,,2016-01-28,wisseltank
Ontgassingstank,298,ogt,Ontgassingstank,,,2016-01-28,ontgassingstank
Oxischetank,297,oxt,Oxischetank,,,2016-01-28,oxischetank
Effluentvijver,296,eur,Effluentvijver,,,2016-01-28,effluentvijver
Buffer,295,bft,Buffer,,,2016-01-28,buffertank
Opslagtank,294,ot-,Opslagtank,,,2016-01-28,opslagtank
Verzameltank,293,vtk,Verzameltank,,,2016-01-28,verzameltank
Koelwatertank,292,kwt,Koelwatertank,,,2016-01-28,koelwatertank
Hulpstoffentank,291,ht-,Hulpstoffentank,,,2016-01-28,hulpstoffentank
Extern afvalstoftank,290,eat,Extern afvalstoftank,,,2016-01-28,extern afvalstoftank
Chemicaliënopslag,29,cos,Chemicaliënopslag,,,2016-01-28,chemicaliënopslag
Afgewerkte olie opslagtank,289,asv,Afgewerkte olie opslagtank,,,2016-01-28,afgewerkte olie opslagtank
Polymeergebruikstank,288,pgt,Polymeergebruikstank,,,2016-01-28,polymeergebruikstank
Dagtank smeerolie,287,sod,Dagtank smeerolie,,,2016-01-28,dagtank smeerolie
Huisbrandolieopslag,286,hbo,Huisbrandolieopslag,,,2016-01-28,huisbrandolieopslag
Voorbezinktank,285,vbt,Voorbezinktank,,,2016-01-28,voorbezinktank
Vacuümtank,284,vct,Vacuümtank,,,2016-01-28,vacuümtank
Tussenbezinktank,283,tbt,Tussenbezinktank,,,2016-01-28,tussenbezinktank
Slibbuffertank,282,sot,Slibbuffertank,,,2016-01-28,slibbuffertank
Sliblagune,281,sla,Sliblagune,,,2016-01-28,sliblagune
Polymeerrijptank,280,prt,Polymeerrijptank,,,2016-01-28,polymeerrijptank
Afvalstoffenopslag,28,aso,Afvalstoffenopslag,,,2016-01-28,afvalstoffenopslag
Polymeeropslagtank,279,pot,Polymeeropslagtank,,,2016-01-28,polymeeropslagtank
Polymeeraanmaaktank,278,pat,Polymeeraanmaaktank,,,2016-01-28,polymeeraanmaaktank
Oxidatiebed,277,ob-,Oxidatiebed,,,2016-01-28,oxidatiebed
Nabezinktank,276,nbt,Nabezinktank,,,2016-01-28,nabezinktank
Metaalzoutenopslagtank,275,mot,Metaalzoutenopslagtank,,,2016-01-28,metaalzoutenopslagtank
Mengtank,274,mt-,Mengtank,,,2016-01-28,mengtank
Helofytenfilter,273,hff,Helofytenfilter,,,2016-01-28,helofytenfilter
Gistingstank,272,gt-,Gistingstank,,,2016-01-28,gistingstank
Gashouder,271,gh-,Gashouder,,,2016-01-28,gashouder
Contacttank,270,ct-,Contacttank,,,2016-01-28,contacttank
Warmtewisselaar,27,ww-,Warmtewisselaar,,,2016-01-28,warmtewisselaar
Chlooropslagtank,269,cot,Chlooropslagtank,,,2016-01-28,chlooropslagtank
Calamiteitenbak,268,cb-,Calamiteitenbak,,,2016-01-28,calamiteitenbak
Bronwatertank,267,bwt,Bronwatertank,,,2016-01-28,bronwatertank
Breektank,266,bt-,Breektank,,,2016-01-28,breektank
Bergbezinkbassin,265,bb-,Bergbezinkbassin,,,2016-01-28,bergbezinkbassin
Anoxische tank,264,ao-,Anoxische tank,,,2016-01-28,anoxische tank
Anaërobe tank,263,an-,Anaërobe tank,,,2016-01-28,anaërobe tank
Actiefslibtank,262,at-,Actiefslibtank,,,2016-01-28,actiefslibtank
Straat,261,str,Straat,,,2016-01-28,straat
Zeefinstallatie,260,zi-,Zeefinstallatie,,,2016-01-28,zeefinstallatie
Doseerunit,26,du-,Doseerunit,,,2016-01-28,doseerunit
Roostergoedinstallatie,259,rgi,Roostergoedinstallatie,,,2016-01-28,roostergoedinstallatie
Cycloon,258,zc-,Cycloon,,,2016-01-28,cycloon
Zandafscheider,257,za-,Zandafscheider,,,2016-01-28,zandafscheider
Olieafscheider,256,oa-,Olieafscheider,,,2016-01-28,olieafscheider
Mechanische indikinstallatie,255,mii,Mechanische indikinstallatie,,,2016-01-28,mechanische indikinstallatie
Indikker,254,i--,Indikker,,,2016-01-28,indikker
Membraanfilter,253,mf-,Membraanfilter,,,2016-01-28,membraanfilter
Filter,252,f--,Filter,,,2016-01-28,filter
Zeeftrommel,251,zt-,Zeeftrommel,,,2016-01-28,zeeftrommel
Mechanische ontwateringsinstallatie,250,moi,Mechanische ontwateringsinstallatie,,,2016-01-28,mechanische ontwateringsinstallatie
Doseersluis,25,ds-,Doseersluis,,,2016-01-28,doseersluis
Zandvang,249,zv-,Zandvang,,,2016-01-28,zandvang
Zandfilter,248,zf-,Zandfilter,,,2016-01-28,zandfilter
Voorindikker,247,vi-,Voorindikker,,,2016-01-28,voorindikker
Rooster,246,ro-,Rooster,,,2016-01-28,rooster
Lavafilter,245,lf-,Lavafilter,,,2016-01-28,lavafilter
Indikcentrifuge,244,ic-,Indikcentrifuge,,,2016-01-28,indikcentrifuge
Condensafscheider,243,ca-,Condensafscheider,,,2016-01-28,condensafscheider
Biofilter,242,cf-,Biofilter,,,2016-01-28,biofilter
Bedrijfswaterfilter,241,bwf,Bedrijfswaterfilter,,,2016-01-28,bedrijfswaterfilter
Drooginstallatie,240,di-,Drooginstallatie,,,2016-01-28,drooginstallatie
Oliefiltratie-unit,24,ofu,Oliefiltratie-unit,,,2016-01-28,oliefiltratie-unit
Drijflaagruimer,239,dlr,Drijflaagruimer,,,2016-01-28,drijflaagruimer
Slibruimer,238,slr,Slibruimer,,,2016-01-28,slibruimer
Zandruimer,237,zr-,Zandruimer,,,2016-01-28,zandruimer
Slibdroogbedruimer,236,sdr,Slibdroogbedruimer,,,2016-01-28,slibdroogbedruimer
Ruimerbrug,235,rb-,Ruimerbrug,,,2016-01-28,ruimerbrug
Centrifugaatput,234,ctt,Centrifugaatput,,,2016-01-28,centrifugaatput
Stuwput,233,spt,Stuwput,,,2016-01-28,stuwput
Condensaatput,232,cst,Condensaatput,,,2016-01-28,condensput
Lenspompput,231,lpp,Lenspompput,,,2016-01-28,lenspompput
Put,230,put,Put,,,2016-01-28,put
Kalkdoseerunit,23,kdu,Kalkdoseerunit,,,2016-01-28,kalkdoseerunit
Drijflaagafvoerput,229,da-,Drijflaagafvoerput,,,2016-01-28,drijflaagafvoerput
Vijzelturbine,228,vtb,Vijzelturbine,,,2016-01-28,vijzelturbine
