id,naam
Id-7ce74514-431c-4479-9736-ebf033df9672,Puntvormige_beplanting_soorten
Id-174ccfca-9c11-4d57-9583-8212f3dabaaa,Put_meetvoorziening_soorten
Id-bd0843df-1ad9-4bfb-b12d-c3a63db9e77e,Randvoorziening_typen
Id-404db6d5-edcf-4347-98d6-54f7899a1eac,Rechtsvormen_bedrijf
Id-f839660d-ceb5-4e64-ab69-537df51e3331,RedenGebruikLocatie
Id-de7a95c1-a411-4dec-a48b-ef60224bb45d,Regelbaarheid_soorten_voor_stuwen
Id-175d7fdd-adb0-4754-aa91-0029cf8162df,RichtlijnType
Id-0292dd3d-c1c1-4345-b829-b8cdf0c21151,Rioleringselementen
Id-8a4c71d4-f71f-48fa-bb2e-28e614d76679,RWZI_soorten
Id-481253e8-3ea7-40ab-90d1-cf1dbbf2cda0,Scheepvaartteken
Id-07b20f0c-24eb-4f98-a9c9-09006c73c0a0,SGBPTitel
Id-fc5fb882-029e-4927-aa9f-dc00c04523b0,Soort_zorgplicht_voor_bomen
Id-21423a68-ef30-4b4b-9418-5652cb98655b,Spanningsklassen
Id-2624f6bb-e079-4935-a020-318932777998,Srt_zorgplicht
Id-a8586d6a-dba0-46bd-b061-3ab396b573d1,Stuw_soorten
Id-7eea8185-ea26-4fdb-a26c-baa2a54fc980,Tijdelijke_kroon
Id-1c86995e-2fed-4425-90ba-25e1af06ce13,Tijdstapeenheden
Id-0b0b2930-e672-46a5-8651-13c3ace3dc13,Vaarweg_soorten
Id-25920c55-67f8-4f98-9231-b1c2cd8e8645,Veer_typen
Id-e20777e8-beec-467d-948e-ad2c6d6f0d6c,Verkeersvoorziening_boomvakdeel
Id-b13886af-bf81-46df-817f-d4dc2e55876f,Vormen
Id-da5f234a-b9da-4bd8-bf2f-f72f3afb2bbd,Vormen_algemeen
Id-e136c0e0-f9b7-4788-81fc-d404ad838049,Vormen_oud
Id-2479ec68-3102-4367-88bb-beffbbc367d2,Vormen_voor_afvalwatertransportwerken
Id-c526db87-350e-4a70-b919-da51c9859b31,Waterrijkheidtype
Id-88689c4e-cb5c-435f-b8b5-876abd2c0ed7,Zuivering_soorten
